Date,Open,High,Low,Close,Adj Close,Volume
2011-09-07,4010.679932,4010.679932,4010.679932,4010.679932,4010.679932,0
2011-09-08,4018.360107,4018.360107,4018.360107,4018.360107,4018.360107,0
2011-09-09,4018.360107,4018.360107,4018.360107,4018.360107,4018.360107,0
2011-09-12,3942.520020,3942.520020,3942.520020,3942.520020,3942.520020,0
2011-09-13,3836.639893,3836.639893,3836.639893,3836.639893,3836.639893,0
2011-09-14,3814.820068,3814.820068,3814.820068,3814.820068,3814.820068,0
2011-09-15,3855.979980,3855.979980,3855.979980,3855.979980,3855.979980,0
2011-09-16,3965.120117,3965.120117,3965.120117,3965.120117,3965.120117,0
2011-09-19,3914.110107,3914.110107,3914.110107,3914.110107,3914.110107,0
2011-09-20,4012.219971,4012.219971,4012.219971,4012.219971,4012.219971,0
2011-09-21,4043.219971,4043.219971,4043.219971,4043.219971,4043.219971,0
2011-09-22,3867.060059,3867.060059,3867.060059,3867.060059,3867.060059,0
2011-09-23,3793.800049,3793.800049,3793.800049,3793.800049,3793.800049,0
2011-09-26,3785.889893,3785.889893,3785.889893,3785.889893,3785.889893,0
2011-09-27,3883.300049,3883.300049,3883.300049,3883.300049,3883.300049,0
2011-09-28,3840.739990,3840.739990,3840.739990,3840.739990,3840.739990,0
2011-09-29,3905.350098,3905.350098,3905.350098,3905.350098,3905.350098,0
2011-09-30,3833.459961,3833.459961,3833.459961,3833.459961,3833.459961,0
2011-10-03,3736.979980,3736.979980,3736.979980,3736.979980,3736.979980,0
2011-10-04,3636.929932,3636.929932,3636.929932,3636.929932,3636.929932,0
2011-10-05,3575.070068,3575.070068,3575.070068,3575.070068,3575.070068,0
2011-10-07,3709.479980,3709.479980,3709.479980,3709.479980,3709.479980,0
2011-10-10,3778.729980,3778.729980,3778.729980,3778.729980,3778.729980,0
2011-10-11,3790.429932,3790.429932,3790.429932,3790.429932,3790.429932,0
2011-10-12,3892.810059,3892.810059,3892.810059,3892.810059,3892.810059,0
2011-10-13,3909.399902,3909.399902,3909.399902,3909.399902,3909.399902,0
2011-10-14,3935.639893,3935.639893,3935.639893,3935.639893,3935.639893,0
2011-10-17,3960.659912,3960.659912,3960.659912,3960.659912,3960.659912,0
2011-10-18,3915.080078,3915.080078,3915.080078,3915.080078,3915.080078,0
2011-10-19,4002.489990,4002.489990,4002.489990,4002.489990,4002.489990,0
2011-10-20,3932.600098,3932.600098,3932.600098,3932.600098,3932.600098,0
2011-10-21,3901.370117,3901.370117,3901.370117,3901.370117,3901.370117,0
2011-10-24,3902.209961,3902.209961,3902.209961,3902.209961,3902.209961,0
2011-10-25,3908.399902,3908.399902,3908.399902,3908.399902,3908.399902,0
2011-10-28,4065.229980,4065.229980,4065.229980,4065.229980,4065.229980,0
2011-10-31,4076.530029,4076.530029,4076.530029,4076.530029,4076.530029,0
2011-11-01,4014.750000,4014.750000,4014.750000,4014.750000,4014.750000,0
2011-11-02,3999.679932,3999.679932,3999.679932,3999.679932,3999.679932,0
2011-11-03,3999.659912,3999.659912,3999.659912,3999.659912,3999.659912,0
2011-11-04,4019.350098,4019.350098,4019.350098,4019.350098,4019.350098,0
2011-11-08,4020.110107,4020.110107,4020.110107,4020.110107,4020.110107,0
2011-11-09,3942.320068,3942.320068,3942.320068,3942.320068,3942.320068,0
2011-11-11,3821.750000,3821.750000,3821.750000,3821.750000,3821.750000,0
2011-11-14,3816.149902,3816.149902,3816.149902,3816.149902,3816.149902,0
2011-11-15,3737.600098,3737.600098,3737.600098,3737.600098,3737.600098,0
2011-11-16,3718.360107,3718.360107,3718.360107,3718.360107,3718.360107,0
2011-11-17,3660.459961,3660.459961,3660.459961,3660.459961,3660.459961,0
2011-11-18,3647.629883,3647.629883,3647.629883,3647.629883,3647.629883,0
2011-11-21,3527.100098,3527.100098,3527.100098,3527.100098,3527.100098,0
2011-11-22,3566.469971,3566.469971,3566.469971,3566.469971,3566.469971,0
2011-11-23,3476.810059,3476.810059,3476.810059,3476.810059,3476.810059,0
2011-11-24,3496.639893,3496.639893,3496.639893,3496.639893,3496.639893,0
2011-11-25,3479.340088,3479.340088,3479.340088,3479.340088,3479.340088,0
2011-11-28,3622.590088,3622.590088,3622.590088,3622.590088,3622.590088,0
2011-11-29,3562.790039,3562.790039,3562.790039,3562.790039,3562.790039,0
2011-11-30,3552.280029,3552.280029,3552.280029,3552.280029,3552.280029,0
2011-12-01,3676.080078,3676.080078,3676.080078,3676.080078,3676.080078,0
2011-12-02,3784.939941,3784.939941,3784.939941,3784.939941,3784.939941,0
2011-12-05,3780.879883,3780.879883,3780.879883,3780.879883,3780.879883,0
2011-12-07,3801.479980,3801.479980,3801.479980,3801.479980,3801.479980,0
2011-12-08,3703.310059,3703.310059,3703.310059,3703.310059,3703.310059,0
2011-12-09,3645.030029,3645.030029,3645.030029,3645.030029,3645.030029,0
2011-12-12,3541.060059,3541.060059,3541.060059,3541.060059,3541.060059,0
2011-12-13,3553.719971,3553.719971,3553.719971,3553.719971,3553.719971,0
2011-12-14,3518.219971,3518.219971,3518.219971,3518.219971,3518.219971,0
2011-12-15,3503.860107,3503.860107,3503.860107,3503.860107,3503.860107,0
2011-12-16,3403.919922,3403.919922,3403.919922,3403.919922,3403.919922,0
2011-12-19,3313.510010,3313.510010,3313.510010,3313.510010,3313.510010,0
2011-12-20,3291.050049,3291.050049,3291.050049,3291.050049,3291.050049,0
2011-12-21,3443.840088,3443.840088,3443.840088,3443.840088,3443.840088,0
2011-12-22,3511.129883,3511.129883,3511.129883,3511.129883,3511.129883,0
2011-12-23,3480.770020,3480.770020,3480.770020,3480.770020,3480.770020,0
2011-12-26,3510.919922,3510.919922,3510.919922,3510.919922,3510.919922,0
2011-12-27,3483.870117,3483.870117,3483.870117,3483.870117,3483.870117,0
2011-12-28,3428.100098,3428.100098,3428.100098,3428.100098,3428.100098,0
2011-12-29,3389.209961,3389.209961,3389.209961,3389.209961,3389.209961,0
2011-12-30,3367.669922,3367.669922,3367.669922,3367.669922,3367.669922,0
2012-01-02,3369.939941,3369.939941,3369.939941,3369.939941,3369.939941,0
2012-01-03,3495.580078,3495.580078,3495.580078,3495.580078,3495.580078,0
2012-01-04,3513.790039,3513.790039,3513.790039,3513.790039,3513.790039,0
2012-01-05,3552.010010,3552.010010,3552.010010,3552.010010,3552.010010,0
2012-01-06,3558.000000,3558.000000,3558.000000,3558.000000,3558.000000,0
2012-01-07,null,null,null,null,null,null
2012-01-09,3547.909912,3547.909912,3547.909912,3547.909912,3547.909912,0
2012-01-10,3648.699951,3648.699951,3648.699951,3648.699951,3648.699951,0
2012-01-11,3648.699951,3648.699951,3648.699951,3648.699951,3648.699951,0
2012-01-12,3680.199951,3680.199951,3680.199951,3680.199951,3680.199951,0
2012-01-13,3732.959961,3732.959961,3732.959961,3732.959961,3732.959961,0
2012-01-16,3721.229980,3721.229980,3721.229980,3721.229980,3721.229980,0
2012-01-17,3721.229980,3721.229980,3721.229980,3721.229980,3721.229980,0
2012-01-18,3763.919922,3763.919922,3763.919922,3763.919922,3763.919922,0
2012-01-19,3841.620117,3841.620117,3841.620117,3841.620117,3841.620117,0
2012-01-20,null,null,null,null,null,null
2012-01-23,3926.790039,3926.790039,3926.790039,3926.790039,3926.790039,0
2012-01-24,3926.790039,3926.790039,3926.790039,3926.790039,3926.790039,0
2012-01-25,4064.050049,4064.050049,4064.050049,4064.050049,4064.050049,0
2012-01-27,4046.209961,4046.209961,4046.209961,4046.209961,4046.209961,0
2012-01-30,3938.000000,3938.000000,3938.000000,3938.000000,3938.000000,0
2012-01-31,4074.250000,4074.250000,4074.250000,4074.250000,4074.250000,0
2012-02-01,4087.629883,4087.629883,4087.629883,4087.629883,4087.629883,0
2012-02-02,4089.590088,4089.590088,4089.590088,4089.590088,4089.590088,0
2012-02-03,4159.279785,4159.279785,4159.279785,4159.279785,4159.279785,0
2012-02-06,4206.589844,4206.589844,4206.589844,4206.589844,4206.589844,0
2012-02-07,4195.529785,4195.529785,4195.529785,4195.529785,4195.529785,0
2012-02-08,4205.720215,4205.720215,4205.720215,4205.720215,4205.720215,0
2012-02-09,4269.629883,4269.629883,4269.629883,4269.629883,4269.629883,0
2012-02-10,4231.859863,4231.859863,4231.859863,4231.859863,4231.859863,0
2012-02-13,4241.120117,4241.120117,4241.120117,4241.120117,4241.120117,0
2012-02-14,4273.000000,4273.000000,4273.000000,4273.000000,4273.000000,0
